Italian,French
persone,gens
nostro,notre
tipo,gars
prego,je t'en prie
grande,super
può,peut
senti,se sentir
appena,dès que
potrebbe,pourrait être
soldi,argent
dice,Il dit
sapere,savoir
tre,Trois
oggi,Aujourd'hui
questi,ces
piace,fait plaisir
idea,idée
siete,tu es
ai,au
avevo,J'avais
figlio,fils
accordo,accord
gente,personnes
sicuro,assurer
vieni,Tu viens
degli,de la
guarda,Regarder
dentro,à l'intérieur
trovato,trouvé
queste,ces
caso,cas
forza,Force
dov',où
tutte,tous
pensi,penser
signora,Madame
faccio,Je fais
nome,Prénom
avuto,avait
problema,problème
altri,autres
puo,peut
aver,ont
mondo,monde
tutta,toute
preso,pris 
nulla,Rien
nostra,notre
donna,femme
stare,rester
basta,Assez
insieme,Ensemble
faccia,affronter
ragazza,fille
subito,de suite
famiglia,famille
ragazzo,garçon
volevo,j'ai voulu
okay,d'accord
sentito,sens
ah,Ah
stesso,même
ragione,raison
sarà,sera
tuoi,ton
capito,Compris
notte,Nuit
volte,fois
testa,diriger
serve,servir
tesoro,trésor
sotto,sous
eh,Eh
suoi,son
vado,J'y vais
sara,sera
dato,donné
stiamo,nous sommes
bella,belle
scusa,Excuse-moi
erano,ils étaient
pensavo,Je pensais
avrei,J'aurais
prendere,prendre
buona,bonne
porta,porte
bello,chouette
moglie,l'épouse
vorrei,Je voudrais
storia,histoire
succede,arrive
morto,décédé
cercando,à la recherche de
dici,vous dites
persona,personne
pronto,Prêt
meno,moins
dovuto,exigible
avanti,Après vous
capisco,Je comprends
secondo,deuxième
venire,venir
polizia,police
lì,là
avrebbe,il aurait
stanno,ils sont
mentre,pendant
letto,Lit
fino,jusqu'à
dico,je dis
amici,amis
fine,fin
aiuto,aide
paura,craindre
fratello,Frère
stavo,J'étais
uomini,Hommes
nell',dans le'
domani,Demain
facciamo,Nous faisons
abbastanza,Assez
capo,chef
amore,Aimer
nei,dans le
ucciso,tué
state,État
piano,sol
macchina,voiture
trovare,trouver
comunque,toutefois
vediamo,Nous voyons
giorni,jours
nemmeno,ni
mano,main
dall',depuis
presto,Bientôt
stati,États
merda,merde
far,faire
bambino,enfant
andato,gauche
vedo,Je vois
tornare,retouner
quelle,ceux
cio,c'est
primo,premier
vostro,ton
neanche,pas même
sera,soir
giro,visite
morte,décès
e',Et'
qua,ici
pensato,pensée
buon,Bien
anno,année
mie,mon
diavolo,diable
quasi,Presque
piacere,Plaisir
bel,bon
dovrei,je devrais
nessun,Non
contro,contre
stessa,même
felice,heureux
colpa,culpabilité
punto,indiquer
andata,vers l'extérieur
dovrebbe,devrait
vedi,tu vois
quale,quel est
chiesto,demandé
invece,Plutôt
perchè,pouquoi
migliore,améliorer
nostri,notre
finito,fini
figlia,Fille
dovresti,tu devrais
papa,père
almeno,au moins
sento,Je me sens
quei,ceux
col,avec le
ore,heures
passato,passé
magari,Peut-être
minuti,minutes
terra,Terre
vostra,ton
strada,route
sola,unique
credi,croire
importante,important
sue,son
salve,Salut
settimana,semaine
perso,perdu
uscire,sortir
parlato,parlait
papÃ,père
stasera,ce soir
scusi,Excuse-moi
dollari,dollar
occhi,yeux
mani,mains
ultima,dernier
possibile,possible
scuola,école
significa,ça veut dire
sapevo,je savais
nelle,dans
potrei,Je pourrais
stava,était
bambini,enfants
eri,tu étais
importa,Cela compte
indietro,en arrière
riesco,je suis capable de
sangue,sang
chiama,qui aime
messo,mettre en ordre
piccolo,petit
traduzione,traduction
tardi,en retard
cuore,Cœur
marito,Mari
viene,il vient
venuto,à venir
ieri,Hier
spero,Je espère
ricordi,souvenirs
quelli,ceux
dovremmo,nous devrions
lasciato,laissé
ascolta,Écouter
difficile,difficile
quell',ce'
auto,voiture
chiamato,appelé
ciò,c'est
altre,autres
parlando,Parlant
pensare,penser
fantastico,Fantastique
fatta,fait
numero,nombre
veramente,Vraiment
fanno,ils font
com',comme
serio,serieux
possa,peut
fossi,plonger
entrare,entrer
anch',aussi
qualsiasi,n'importe quel
pensa,pense
dicendo,en disant
acqua,cascade
portato,transporté
stanza,chambre
problemi,problèmes
forte,fort
nessuna,aucun
lascia,feuilles
amo,J'aime
roba,truc
agente,agent
dietro,derrière
corpo,corps
pare,il semble
sentire,se sentir
foto,photo
telefono,Téléphone
voleva,il voulait
poco,petit
prendi,tu prends
piccola,petite
vicino,voisin
quest',ce
sacco,sac
stia,stia
capire,comprendre
potuto,pourrait
cinque,cinq
strano,étrange
tue,ton
andando,en allant
donne,femmes
sappiamo,nous savons
bravo,bon garçon
ragazze,filles
festa,Fête
senso,sens
genere,taper 
quattro,quatre
dare,donner
attimo,moment
sorella,sœur
pure,purée
probabilmente,probablement
film,film
parla,parler
ufficio,bureau
verso,vers
mesi,mois
farti,te faire
unica,unique
morire,mourir
signorina,Mademoiselle
vecchio,vieux
domanda,demande
ben,Bien
guerra,guerre
dottore,docteur
conosco,Je sais
qual,ce
vivere,en direct
vista,voir
prova,essai
nuova,nouvelle
ricordo,Je me souviens
divertente,amusant
avessi,avait
sicura,sûr
paio,paire
conto,Je compte
perdere,PERDRE
dimmi,Dis-moi
farmi,faîtes-moi
figli,enfants
mezzo,moitié
lavorare,travailler
unico,unique
esattamente,Exactement
squadra,équipe
esatto,Exactement
possono,peut
fate,tu fais
faro,phare
sapete,Vous savez
dottor,Médecin
parola,mot
piedi,pieds
sopra,au-dessus de
motivo,raison
avevi,tu avais
cavolo,chou
capitano,capitaine
finita,fini
volete,tu veux
siano,ils sont
potresti,vous pourriez
gioco,jeu
perfetto,Parfait
be,être
mente,esprit
mangiare,manger
resto,repos
credere,croire
fortuna,fortune
tratta,traite
chiamo,appel
morta,mort
là,là
entrambi,les deux
avresti,tu aurais
passare,passer
cena,dîner
the,thé
sarei,je serais
controllo,Control
affari,entreprise
spiace,désagréable
ultimo,dernier
facile,facile
farò,phare
buongiorno,Bonjour
davanti,devant
tizio,gars
dammi,donne-moi
sicurezza,sécurité
dalle,lui donner
quanti,combien
dica,dire
matrimonio,mariage
john,John
vogliono,Ils veulent
molti,beaucoup
culo,cul
fuoco,feu
cercare,chercher
pistola,pistolet
potremmo,nous pourrions
re,roi
mandato,mandat
puttana,putain
negli,dans
cioe,c'est-à-dire
inizio,commencer
saranno,seront
causa,cause
voglia,veut
mettere,mettre
fammi,fais pour moi
uccidere,tuer
vogliamo,nous voulons
faremo,nous ferons
però,toutefois
genitori,parents
sesso,sexe
potete,tu peux
ricevuto,reçu
vivo,Je vis
presidente,président
città,ville
citta,ville
succedendo,réussi
ospedale,hôpital
fu,était
agli,pour
scritto,écrit
smettila,arrête ça
vada,aller
attenzione,Attention
sulle,sur
bere,boire
situazione,situation
omicidio,homocide
revisione,révision
avesse,avait
ottimo,Optimal
cura,traitement
durante,pendant
provato,essayé
parole,mots
lasciare,partir
dicono,ils disent
new,nouveau
prossima,suivant
nostre,notre
arrivato,arrivé
paese,village
sull',sur
andate,aller
chiunque,quiconque
capisci,vous comprenez
pace,paix
immagino,j'imagine
musica,musique
tieni,donjon
oddio,détester
jack,jack
libro,livre
eravamo,nous étions
amica,Amie
diventare,devenir
sui,sur
sbagliato,faux
dirmi,dis-moi
wow,Ouah
farai,vous ferez
entra,entrer
venuta,à venir
scelta,choix
voluto,recherché
portare,Apporter
assolutamente,absolument
molte,beaucoup
chiedo,je demande
torna,dos
scoperto,Découverte
fatti,faits
settimane,semaines
dirlo,faire de lui
alcuni,quelques
prigione,prison
giornata,journée
piuttosto,plutôt
buono,Bien
aspettare,attendez
parli,vous parlez
arrivare,arriver
lungo,long
vede,voir
avvocato,avocat
deciso,décidé
sarai,vous serez
messaggio,message
dormire,dormir
dieci,dix
stupido,stupide
usare,utiliser
dello,de la
cielo,ciel
guardare,montre
bagno,bain
aria,air
voce,voix
tornato,récupérer
vuol,Vuol
giù,dessous
conosci,Vous savez
benissimo,Très bien
prendo,Je prends
verita,vérité
cane,chien
restare,rester
chiamare,appeler
poter,être capable
campo,champ
luce,lumière
sam,Sam
qualunque,n'importe qui
giovane,jeune
signori,Messieurs
fra,entre
provare,essayer
minuto,minute
saperlo,sachez le
lontano,loin
gruppo,groupe
continua,continue
arrivo,j'arrive
gran,grand
realta,réalité
cerca,près
passo,marcher
domande,demandes
insomma,Bref
bambina,fille
pensando,penser
capelli,cheveux
trova,découvertes
onore,honneur
aiutare,aider
verità,vérité
prove,preuve
n',n '
funziona,travaux
alto,haut
giu,dessous
credevo,je croyais
futuro,futur
preoccuparti,inquiétude
idiota,idiot
cibo,nourriture
fretta,ruée
cara,chère
finalmente,enfin
morti,mort
odio,détester
solito,habituel
brava,Bien
é,Et
incidente,accident
allo,au
dev',il doit
intenzione,intention
speciale,spécial
cambiare,changement
vera,réel
camera,chambre
oltre,au-delà
semplice,simple
dirti,te dire
riguardo,égard
finche,jusqu'à
aspetto,J'attends
viaggio,voyage
chiaro,clair
chiamata,appel
bocca,bouche
permesso,permis
piacerebbe,voudrais
dovete,vous devez
giocare,jouer
ordine,commande
circa,environ
ovviamente,De toute évidence
finire,terminer
piu',plus'
natale,Noël
i',le'
direi,Je dirais
vostri,vos
occhio,œil
pronta,prêt
scusami,excuse moi
mattina,matin
cercato,cherché
crede,tu penses
sistema,système
york,York
fondo,bas
resta,rester
devono,doivent
prossimo,suivant
pronti,prêt
saputo,connu
scusate,Excuse-moi
potere,le pouvoir
milioni,des millions
soltanto,seul
armi,armes
arriva,il arrive
fermo,arrêté
mese,mois
chiedere,demander
cristo,Christ
torno,dos
venite,venir
controllare,contrôler
appuntamento,rendez-vous
s,trier
chiami,qui aimes-tu
vecchia,vieille
detective,détective
pero,toutefois
metti,tu mets
grado,grade
vanno,ils vont
nave,bateau
iniziato,commencé
perche',pouquoi'
informazioni,information
libero,libre
stronzo,Connard
grandi,grand
pezzo,pièce
segreto,secret
colpo,frapper
faceva,Il a fait
piacciono,comme
porto,port
oppure,ou
completamente,complètement
vederti,à bientôt
lista,liste
venga,venir
veloce,rapide
assassino,meurtrière
sapeva,Il savait
fincha,Fincha
tom,À M
ormai,désormais
interessa,intérêt
generale,général
giusta,droite
tenere,prise
pazzo,fou
vittima,victime
giuro,Je jure
consiglio,conseiller
michael,Michael
alcune,quelques
semplicemente,simplement
zio,Oncle
centro,centre
specie,espèces
mille,mille
sogno,rêve
lasci,partir
carino,mignon
doveva,où vous allez
brutto,laid
nello,dans
aspetti,aspect
incredibile,incroyable
sole,Soleil
glielo,il
legge,loi
spesso,Souvent
guardate,montre
cambiato,modifié
scena,scène
volevi,tu voulais
charlie,Charlie
lasciami,laisse-moi
gentile,gentil
rispetto,respect
ve,ve
fara,fera
zitto,Fermez-la
incontro,rencontre
farà,fera
servono,besoin
rapporto,relation
errore,erreur
mike,Mike
sanno,ils savent
pagare,payer
sorpresa,surprendre
occhiata,regarder
risposta,réponse
presa,Jack
servizio,service
medico,docteur
usato,utilisé
hey,Hé
caro,Cher
schifo,dégoûter
avrai,Tu vas avoir
dolore,mal
saresti,voudrais-tu être
personale,personnel
quali,qui
saro,Je serai
peggio,pire
addio,adieu
addosso,sur
dovevo,j'ai dû
poteva,il pourrait
pieno,complet
diverso,différent
vestiti,vêtements
sparato,tir
realtà,réalité
do,faire
sarò,Je serai
normale,normal
fame,faim
programma,plan
nonna,Grand-mère
sappia,savoir
sembrava,Il semblait
migliori,mieux
notizie,nouvelles
avevamo,nous avons eu
riesci,sont capables
posizione,position
vengo,je viens
rimanere,rester
compagnia,entreprise
proposito,but
farci,nous faire
joe,Joe
ricorda,se souvenir
frank,Franc
prende,prendre des prises
tante,beaucoup
avevano,ils avaient
arrivando,en arrivant
chiuso,fermé
terribile,terrible
ritardo,retard
attento,minutieux
bar,Café
sembri,Tu regarde
fallo,fais-le
dimenticato,oublié
bisogna,il faut
impossibile,impossible
cioè,c'est-à-dire
studio,étude
stessi,même
arma,arme
conosce,savoir
uscita,sortie
ii,Ii
fin,ailette
disse,Dit-elle
david,David
vattene,sortir
quante,combien ça coûte
guai,inquiéter
intorno,environnement
video,vidéo
manca,absence
esserci,là
grosso,grand
tanti,beaucoup
dolce,Doux
chiave,clé
cervello,cerveau
coraggio,courage
interessante,Intéressant
